tot_pop_log,median_inc_log,year,after,ohio,school_district,number_tested,pct_prof_or_above,tot_pop,perc_male,perc_female,perc_under5,perc_5to19,perc_20plus,perc_caucasian,perc_otherethnicity,perc_nobach,perc_bachplus,median_inc,interaction
10.080922187756688,10.476780804620594,2008,0,1,"Adams County/Ohio Valley Local School District, Ohio",315,67.6,23882,0.5,0.5,0.07,0.18,0.75,0.97,0.03,0.9,0.1,35481,0
10.023357298386513,10.396413936414287,2013,1,1,"Adams County/Ohio Valley Local School District, Ohio",283,78.5,22546,0.5,0.5,0.07,0.19,0.74,0.97,0.03,0.9,0.1,32741,1
12.159541677454351,10.436260560784943,2008,0,1,"Akron City School District, Ohio",1801,60.2,190906,0.48,0.52,0.07,0.17,0.76,0.63,0.37,0.82,0.18,34072,0
12.157932270202238,10.32347995992483,2013,1,1,"Akron City School District, Ohio",1700,68.8,190599,0.48,0.52,0.07,0.16,0.77,0.61,0.39,0.81,0.19,30438,1
10.029018274983338,10.421358301028755,2008,0,1,"Alliance City School District, Ohio",199,61.3,22674,0.48,0.52,0.06,0.17,0.77,0.87,0.13,0.88,0.12,33568,0
9.998706819117062,10.357711078278063,2013,1,1,"Alliance City School District, Ohio",206,69.9,21997,0.5,0.5,0.07,0.15,0.78,0.85,0.15,0.86,0.14,31498,1
10.976012506440918,10.487321973155373,2013,1,0,"Ames Community School District, Iowa",312,85.6,58454,0.53,0.47,0.03,0.09,0.87,0.84,0.16,0.39,0.61,35857,0
10.890441759661355,10.567128679463297,2008,0,0,"Ames Community School District, Iowa",250,84.8,53660,0.53,0.47,0.05,0.09,0.86,0.86,0.14,0.41,0.59,38836,0
10.127310872755094,11.084708484815879,2008,0,1,"Amherst Exempted Village School District, Ohio",288,91.3,25016,0.49,0.51,0.05,0.19,0.76,0.94,0.06,0.78,0.22,65166,0
10.075169374225737,10.925236795266423,2013,1,1,"Amherst Exempted Village School District, Ohio",281,91.8,23745,0.48,0.52,0.04,0.17,0.78,0.92,0.08,0.76,0.24,55560,1
10.891652334646002,11.143584935780687,2013,1,0,"Ankeny Community School District, Iowa",730,84.5,53725,0.51,0.49,0.08,0.19,0.73,0.95,0.05,0.53,0.47,69118,0
10.72084153655026,11.179632170155031,2008,0,0,"Ankeny Community School District, Iowa",582,80.9,45289,0.48,0.52,0.1,0.2,0.7,0.96,0.04,0.52,0.48,71655,0
10.217056645939756,11.302019231320497,2008,0,1,"Anthony Wayne Local School District, Ohio",342,91.2,27365,0.5,0.5,0.07,0.21,0.71,0.96,0.04,0.65,0.35,80984,0
10.2598674529538,11.131533265280341,2013,1,1,"Anthony Wayne Local School District, Ohio",324,97.2,28562,0.47,0.53,0.06,0.2,0.74,0.93,0.07,0.64,0.36,68290,1
10.233007103729488,10.644900950505562,2008,0,1,"Ashland City School District, Ohio",247,81.8,27805,0.48,0.52,0.06,0.12,0.81,0.96,0.04,0.78,0.22,41977,0
10.154401900795694,10.601000190605713,2013,1,1,"Ashland City School District, Ohio",209,90.4,25703,0.47,0.53,0.06,0.14,0.79,0.95,0.05,0.73,0.27,40174,1
10.319628800641526,10.52862352247953,2008,0,1,"Ashtabula Area City School District, Ohio",325,72.6,30321,0.47,0.53,0.08,0.19,0.73,0.9,0.1,0.87,0.13,37369,0
10.243062114822008,10.312878278646764,2013,1,1,"Ashtabula Area City School District, Ohio",283,73.1,28086,0.47,0.53,0.07,0.17,0.76,0.87,0.13,0.88,0.12,30117,1
10.440828516957847,10.380652974809484,2008,0,1,"Athens City School District, Ohio",214,70.6,34228,0.48,0.52,0.04,0.08,0.88,0.91,0.09,0.57,0.43,32229,0
10.452937557838887,10.146943405162217,2013,1,1,"Athens City School District, Ohio",209,80.9,34645,0.5,0.5,0.03,0.07,0.89,0.88,0.12,0.56,0.44,25512,1
10.559062660188317,10.769410877046496,2008,0,1,"Austintown Local School District, Ohio",282,77.7,38524,0.48,0.52,0.07,0.16,0.78,0.76,0.24,0.8,0.2,47543,0
10.476949890150093,10.623690405119499,2013,1,1,"Austintown Local School District, Ohio",376,87.8,35487,0.48,0.52,0.05,0.15,0.8,0.75,0.25,0.79,0.21,41096,1
9.989435864672492,11.3334997112883,2008,0,1,"Avon Lake City School District, Ohio",262,89.3,21794,0.5,0.5,0.07,0.2,0.73,0.91,0.09,0.5,0.5,83574,0
10.038149555779524,11.220887251632075,2013,1,1,"Avon Lake City School District, Ohio",292,96.6,22882,0.51,0.49,0.06,0.19,0.75,0.9,0.1,0.49,0.51,74673,1
10.175306975774374,10.448859520054702,2008,0,1,"Barberton City School District, Ohio",263,71.5,26246,0.46,0.54,0.07,0.16,0.77,0.92,0.08,0.87,0.13,34504,0
10.162152675917417,10.40701662106948,2013,1,1,"Barberton City School District, Ohio",267,78.7,25903,0.46,0.54,0.06,0.17,0.78,0.92,0.08,0.9,0.1,33090,1
10.832240309801332,11.255785529897711,2008,0,1,"Beavercreek City School District, Ohio",554,87.0,50626,0.5,0.5,0.05,0.17,0.78,0.92,0.08,0.56,0.44,77325,0
10.911153459501413,11.23925148610629,2013,1,1,"Beavercreek City School District, Ohio",531,95.5,54783,0.5,0.5,0.05,0.17,0.77,0.89,0.11,0.51,0.49,76057,1
10.297048756141468,10.675261053551264,2008,0,1,"Bedford City School District, Ohio",220,65.0,29644,0.47,0.53,0.06,0.13,0.8,0.35,0.65,0.83,0.17,43271,0
10.306716829702717,10.531616096721624,2013,1,1,"Bedford City School District, Ohio",229,73.4,29932,0.48,0.52,0.06,0.14,0.8,0.35,0.65,0.79,0.21,37481,1
