Year,After,Ohio,School_District,Number_Tested,Pct_Prof_Or_Above,Tot_Pop,Perc_Male,Perc_Female,Perc_Under5,Perc_5to19,Perc_20Plus,Perc_Caucasian,Perc_OtherEthnicity,Perc_NoBach,Perc_BachPlus,Median_Inc
2008,0,1,"Adams County/Ohio Valley Local School District, Ohio",315,67.6,23882,0.5,0.5,0.07,0.18,0.75,0.97,0.03,0.9,0.1,35481
2013,1,1,"Adams County/Ohio Valley Local School District, Ohio",283,78.5,22546,0.5,0.5,0.07,0.19,0.74,0.97,0.03,0.9,0.1,32741
2008,0,1,"Akron City School District, Ohio",1801,60.2,190906,0.48,0.52,0.07,0.17,0.76,0.63,0.37,0.82,0.18,34072
2013,1,1,"Akron City School District, Ohio",1700,68.8,190599,0.48,0.52,0.07,0.16,0.77,0.61,0.39,0.81,0.19,30438
2008,0,1,"Alliance City School District, Ohio",199,61.3,22674,0.48,0.52,0.06,0.17,0.77,0.87,0.13,0.88,0.12,33568
2013,1,1,"Alliance City School District, Ohio",206,69.9,21997,0.5,0.5,0.07,0.15,0.78,0.85,0.15,0.86,0.14,31498
2013,1,0,"Ames Community School District, Iowa",312,85.6,58454,0.53,0.47,0.03,0.09,0.87,0.84,0.16,0.39,0.61,35857
2008,0,0,"Ames Community School District, Iowa",250,84.8,53660,0.53,0.47,0.05,0.09,0.86,0.86,0.14,0.41,0.59,38836
2008,0,1,"Amherst Exempted Village School District, Ohio",288,91.3,25016,0.49,0.51,0.05,0.19,0.76,0.94,0.06,0.78,0.22,65166
2013,1,1,"Amherst Exempted Village School District, Ohio",281,91.8,23745,0.48,0.52,0.04,0.17,0.78,0.92,0.08,0.76,0.24,55560
2013,1,0,"Ankeny Community School District, Iowa",730,84.5,53725,0.51,0.49,0.08,0.19,0.73,0.95,0.05,0.53,0.47,69118
2008,0,0,"Ankeny Community School District, Iowa",582,80.9,45289,0.48,0.52,0.1,0.2,0.7,0.96,0.04,0.52,0.48,71655
2008,0,1,"Anthony Wayne Local School District, Ohio",342,91.2,27365,0.5,0.5,0.07,0.21,0.71,0.96,0.04,0.65,0.35,80984
2013,1,1,"Anthony Wayne Local School District, Ohio",324,97.2,28562,0.47,0.53,0.06,0.2,0.74,0.93,0.07,0.64,0.36,68290
2008,0,1,"Ashland City School District, Ohio",247,81.8,27805,0.48,0.52,0.06,0.12,0.81,0.96,0.04,0.78,0.22,41977
2013,1,1,"Ashland City School District, Ohio",209,90.4,25703,0.47,0.53,0.06,0.14,0.79,0.95,0.05,0.73,0.27,40174
2008,0,1,"Ashtabula Area City School District, Ohio",325,72.6,30321,0.47,0.53,0.08,0.19,0.73,0.9,0.1,0.87,0.13,37369
2013,1,1,"Ashtabula Area City School District, Ohio",283,73.1,28086,0.47,0.53,0.07,0.17,0.76,0.87,0.13,0.88,0.12,30117
2008,0,1,"Athens City School District, Ohio",214,70.6,34228,0.48,0.52,0.04,0.08,0.88,0.91,0.09,0.57,0.43,32229
2013,1,1,"Athens City School District, Ohio",209,80.9,34645,0.5,0.5,0.03,0.07,0.89,0.88,0.12,0.56,0.44,25512
2008,0,1,"Austintown Local School District, Ohio",282,77.7,38524,0.48,0.52,0.07,0.16,0.78,0.76,0.24,0.8,0.2,47543
2013,1,1,"Austintown Local School District, Ohio",376,87.8,35487,0.48,0.52,0.05,0.15,0.8,0.75,0.25,0.79,0.21,41096
2008,0,1,"Avon Lake City School District, Ohio",262,89.3,21794,0.5,0.5,0.07,0.2,0.73,0.91,0.09,0.5,0.5,83574
2013,1,1,"Avon Lake City School District, Ohio",292,96.6,22882,0.51,0.49,0.06,0.19,0.75,0.9,0.1,0.49,0.51,74673
2008,0,1,"Barberton City School District, Ohio",263,71.5,26246,0.46,0.54,0.07,0.16,0.77,0.92,0.08,0.87,0.13,34504
